"symbol","chain","market","qty","value","price","source","address"
"MKR","Mainnet","MKR (v2)","3.687336178356881","4487.289602905855","1216.9461600068812","Market V2","0x95b4eF2869eBD94BEb4eEE400a99824BF5DC325b"
"MNT","Mantle","Not a market","10074.625181116904","4317.177058808192","0.42851986860017127","Mantle","0x47b1137df9fF3f9d481da1d8f5f494697e137668"
"compPOL","Polygon","Not a market","50834.66101391136","3595.6254628775087","0.07073176826916448","Timelock","0xCC3E7c85Bb0EE4f09380e041fee95a0caeDD4a02"
"SUSHI","Mainnet","SUSHI (v2)","14525.345155158833","2180.3805350706953","0.15010869013989037","Market V2","0x4B0181102A0112A2ef11AbEE5563bb4a3176c9d7"
"WBTC","Mainnet","WBTC (v2)","0.02612879","1570.3911776370308","60101.94799058934","Market V2","0xC11b1268C1A384e55C48c2391d8d480264A3A7F4"
"YFI","Mainnet","YFI (v2)","0.5498704954628595","903.1468375039661","1642.471900122105","Market V2","0x80a2AE356fc9ef4305676f7a3E2Ed04e12C33946"
"DAI","Mainnet","Not a market","740.4021792593015","740.4021792593015","1","Timelock","0x6d903f6003cca6255D85CcA4D3B5E5146dC33925"
"REPv2","Mainnet","Not a market","515.499155166335","421.8065253550299","0.8182487228692481","Timelock","0x6d903f6003cca6255D85CcA4D3B5E5146dC33925"
"SAI","Mainnet","DAI (v2)","49.6914709989542","412.84720741351794","8.308210626773487","Market V2","0xF5DCe57282A584D2746FaF1593d3121Fcac444dC"
"BAT","Mainnet","Not a market","3505.14644431","288.3590067579845","0.08226732073522508","Timelock","0x6d903f6003cca6255D85CcA4D3B5E5146dC33925"
"COMP","Mainnet","Not a market","18.256813058289804","286.70524217050854","15.704013688211882","Timelock","0x6d903f6003cca6255D85CcA4D3B5E5146dC33925"
"FEI","Mainnet","FEI (v2)","228.47973125362392","228.4797312536239","1","Market V2","0x7713DD9Ca933848F6819F38B8352D9A15EA73F67"
"COMP","Polygon","Not a market","4.341184882675076","68.1740268205879","15.704013688211882","Rewards","0x45939657d1CA34A8FA39A924B71D28Fe8431e581"
"WRON","Ronin","WRON (v3)","746.0069441789502","42.95927108415198","0.057585618229643476","Market V3","0xc0Afdbd1cEB621Ef576BA969ce9D4ceF78Dbc0c0"
"COMP","Unichain","Not a market","0.569549","8.94420529210739","15.704013688211882","Rewards","0x6f7D514bbD4aFf3BcD1140B7344b32f063dEe486"
"REP","Mainnet","REP (v2)","8.411391143079609","6.882610060378595","0.8182487228692481","Market V2","0x158079Ee67Fce2f58472A96584A73C7Ab9AC95c1"
"DAI","Mainnet","Not a market","0.8274030089378357","0.8274030089378357","1","Aera Compound Reserves","0x3D6eEf6A92b15361697698695334E98C5db91D6b"
"COMP","Arbitrum","Not a market","0.045963","0.7218035811512827","15.704013688211882","Rewards","0x88730d254A2f7e6AC8388c3198aFd694bA9f7fae"
"COMP","Mainnet","Not a market","0.003339017","0.05243596867317218","15.704013688211882","Rewards","0x1B0e765F6224C21223AeA2af16c1C46E38885a40"
"COMP","Mainnet","Not a market","0.000582074472480867","0.009140905483398245","15.704013688211882","Comptroller","0x3d9819210A31b4961b30EF54bE2aeD79B9c9Cd3B"
"COMP","Optimism","Not a market","0.000035","0.0005496404790874158","15.704013688211882","Rewards","0x443EA0340cb75a160F31A440722dec7b5bc3C2E9"
"COMP","Base","Not a market","0.000005","0.00007852006844105942","15.704013688211882","Rewards","0x123964802e6ABabBE1Bc9547D72Ef1B69B00A6b1"
"COMP","Mainnet","Not a market","0","0","15.704013688211882","Avantgarde Treasury Growth Proposal","0x478f2651Be83731328E9532707714CF91cB229a1"
"COMP","Mainnet","Not a market","0","0","15.704013688211882","Avantgarde Treasury Growth Proposal","0xFDaF45754F372cE8726b10846809878eA53f8c12"
"SAI","Mainnet","Not a market","0","0","8.308210626773487","Timelock","0x6d903f6003cca6255D85CcA4D3B5E5146dC33925"
"USDT","Mainnet","Not a market","0","0","1","Timelock","0x6d903f6003cca6255D85CcA4D3B5E5146dC33925"
"USDC","Mainnet","Not a market","0","0","1","Aera Compound Reserves","0x3D6eEf6A92b15361697698695334E98C5db91D6b"
"ETH","Mainnet","Not a market","0","0","1609.669293479286","Aera Compound Reserves","0x3D6eEf6A92b15361697698695334E98C5db91D6b"
"WETH","Mainnet","Not a market","0","0","1609.4139578050954","Aera Compound Reserves","0x3D6eEf6A92b15361697698695334E98C5db91D6b"
"COMP","Mainnet","Not a market","0","0","15.704013688211882","OpenZeppelin Payment Stream Contract","0xCC14295eEF16b26171B19a769C8a255b24305533"
"COMP","Mainnet","Not a market","0","0","15.704013688211882","WOOF Payment Stream Contract","0xF088339DD8e79819A41aDD5FFB75d9F245AfaAb1"
"ETH","Mainnet","Not a market","0","0","1609.669293479286","Compound Community Multisig","0xbbf3f1421D886E9b2c5D716B5192aC998af2012c"
"COMP","Scroll","Not a market","0","0","17.591451520085855","Rewards","0x70167D30964cbFDc315ECAe02441Af747bE0c5Ee"
