date,name,gross,recovered,net,classification,technique,chains,in_scope_chain,bridge_hack,target_type,is_defi_protocol,defillamaId,category,sector
2023-12-13,OKX DEX,2700000.0,0.0,2700000.0,Infrastructure,Private Key Compromised (Unknown Method),Ethereum,True,False,DeFi Protocol,True,,,Other
2023-12-27,Levana Perps,1100000.0,0.0,1100000.0,Protocol Logic,Price Oracle Attack,Osmosis,True,False,DeFi Protocol,True,3474.0,Derivatives,Derivatives
2023-12-30,Locus Finance,321000.0,0.0,321000.0,Infrastructure,Private Key Compromised (Unknown Method),"Ethereum,Arbitrum",True,False,DeFi Protocol,True,3371.0,Yield,Yield
2023-12-31,Orbit Bridge,81700000.0,0.0,81700000.0,Protocol Logic,Signature Exploit,Ethereum,True,True,DeFi Protocol,True,1981.0,Bridge,Bridge
2024-01-02,Radiant V2,4500000.0,0.0,4500000.0,Protocol Logic,Flashloan New Market Exploit,Arbitrum,True,False,DeFi Protocol,True,2706.0,Lending,Lending
2024-01-04,Gamma,4500000.0,0.0,4500000.0,Protocol Logic,Price Manipulation Attack,Arbitrum,True,False,DeFi Protocol,True,355.0,Liquidity Manager,Other
2024-01-07,MangoFarmSol,2000000.0,0.0,2000000.0,Rugpull,Frontend Attack,Solana,True,False,DeFi Protocol,True,,,Other
2024-01-12,Wise Lending V1,464000.0,0.0,464000.0,Protocol Logic,Rounding Donation Attack,Ethereum,True,False,DeFi Protocol,True,3491.0,Lending,Lending
2024-01-16,Bungee,3300000.0,0.0,3300000.0,Protocol Logic,Missing Input Validation,Ethereum,True,True,DeFi Protocol,True,,,Bridge
2024-01-22,Concentric,1720000.0,0.0,1720000.0,Infrastructure,Private Key Compromised (Social Engineering),Arbitrum,True,False,DeFi Protocol,True,,,Other
2024-01-30,Abracadabra Spell,6500000.0,0.0,6500000.0,Protocol Logic,Borrow Logic Exploit,Ethereum,True,False,DeFi Protocol,True,347.0,CDP,Lending
2024-02-13,DuelBits,4600000.0,0.0,4600000.0,Infrastructure,Private Key Compromised,Ethereum,True,False,CEX,False,,,Other
2024-02-18,FixedFloat,26100000.0,0.0,26100000.0,Infrastructure,Private Key Compromised,"Ethereum,Bitcoin",True,False,DeFi Protocol,True,,,Other
2024-02-22,Tectonic,250000.0,0.0,250000.0,Protocol Logic,Flashloan New Market Exploit,Cronos,True,False,DeFi Protocol,True,1115.0,Lending,Lending
2024-02-24,BlueBerry,1400000.0,0.0,1400000.0,Protocol Logic,Flashloan Price Oracle Attack,Ethereum,True,False,DeFi Protocol,True,,Yield,Yield
2024-02-25,RiskOnBlast,1300000.0,0.0,1300000.0,Rugpull,,Blast,True,False,DeFi Protocol,True,,,Other
2024-02-28,Seneca,6500000.0,0.0,6500000.0,Protocol Logic,Token approval exploit,"Ethereum,Arbitrum",True,False,DeFi Protocol,True,4137.0,CDP,Lending
2024-02-29,Shido,3300000.0,0.0,3300000.0,Protocol Logic,Private Key Compromised,Ethereum,True,False,Other,False,,,Other
2024-03-05,WOOFi Swap,8500000.0,0.0,8500000.0,Protocol Logic,Price Oracle Manipulation,Arbitrum,True,False,DeFi Protocol,True,1461.0,Dexs,DEX
2024-03-08,Unizen,2100000.0,2100000.0,0.0,Protocol Logic,External Call Vulnerability,Ethereum,True,False,DeFi Protocol,True,1336.0,DEX Aggregator,DEX
2024-03-20,Dolomite,1800000.0,0.0,1800000.0,Protocol Logic,Acces Control Exploit,Ethereum,True,False,DeFi Protocol,True,,Lending,Lending
2024-03-22,Super Sushi Samurai,4800000.0,0.0,4800000.0,Protocol Logic,Infinite Mint and Dump,Blast,True,False,Gaming,False,,,Other
2024-03-25,Curio,16000000.0,0.0,16000000.0,Protocol Logic,Voting Power Inflation,Ethereum,True,False,DeFi Protocol,True,,,Other
2024-03-26,Munchables,62500000.0,0.0,62500000.0,Protocol Logic,Storage Slot Exploit,Blast,True,False,Gaming,False,4369.0,Farm,Yield
2024-03-28,PrismaLST,11600000.0,0.0,11600000.0,Protocol Logic,Flashloan Trove Manipulation,Ethereum,True,False,DeFi Protocol,True,3473.0,CDP,Lending
2024-03-29,Lava,340000.0,0.0,340000.0,Protocol Logic,Calculation Error in Liquidation Engine ,Arbitrum,True,False,DeFi Protocol,True,4241.0,Lending,Lending
2024-03-29,Solareum,1400000.0,0.0,1400000.0,Infrastructure,Private Key Compromised (Social Engineering),Solana,True,False,DeFi Protocol,True,,,Other
2024-04-15,Grand Base,1700000.0,0.0,1700000.0,Infrastructure,Private Key Compromised (Unknown Method),Base,True,False,DeFi Protocol,True,,,Other
2024-04-19,Hedgey,44700000.0,0.0,44700000.0,Ecosystem,Claim Contract Flashloan Exploit,"Arbitrum,Ethereum",True,False,DeFi Protocol,True,,Payments,Other
2024-04-23,Magpie Protocol,129000.0,0.0,129000.0,Protocol Logic,Router Exploit,"Ethereum,Polygon,BSC,Blast,Avalanche,Arbitrum,Optimism,Base,zkSync Era,Polygon zkEVM",True,False,DeFi Protocol,True,,,Other
2024-04-24,XBridge,1800000.0,0.0,1800000.0,Infrastructure,,"Ethereum,BSC",True,True,DeFi Protocol,True,,,Bridge
2024-04-29,Rain,14800000.0,0.0,14800000.0,Infrastructure,,"Bitcoin,Ethereum,XRP,Solana",True,False,CEX,False,,Prediction Market,Other
2024-04-30,Pike V1,1600000.0,1600000.0,0.0,Protocol Logic,Storage Misalignment Exploit,"Ethereum,Optimism,Arbitrum",True,False,DeFi Protocol,True,4100.0,Lending,Lending
2024-04-30,Yield Protocol,181000.0,0.0,181000.0,Protocol Logic,Balance Disparity Exploit,Arbitrum,True,False,DeFi Protocol,True,876.0,Lending,Lending
2024-05-05,GeniusAI,1270000.0,0.0,1270000.0,Infrastructure,Private Key Compromised (Discord Hack),"Fantom,Ethereum",True,False,DeFi Protocol,True,,,Other
2024-05-15,Sonne Finance,20000000.0,0.0,20000000.0,Ecosystem,Flashloan Donate Function Logic Exploit,Optimism,True,False,DeFi Protocol,True,2142.0,Lending,Lending
2024-05-16,ALEX,4300000.0,0.0,4300000.0,Infrastructure,Private Key Compromised (Phishing),Stacks,True,False,DeFi Protocol,True,1466.0,Dexs,DEX
2024-05-16,pump.fun,2000000.0,0.0,2000000.0,Infrastructure,Private Key Compromised (Unknown Method),Solana,True,False,DeFi Protocol,True,4449.0,Launchpad,Other
2024-05-20,Gala,22000000.0,0.0,22000000.0,Protocol Logic,Infinite Mint and Dump,Ethereum,True,False,DeFi Protocol,True,,,Other
2024-05-31,DMM Bitcoin,305000000.0,305000000.0,0.0,Infrastructure,Private Key Compromised (Unknown Method),Bitcoin,True,False,CEX,False,,,Other
2024-06-02,Velocore V2,6800000.0,0.0,6800000.0,Protocol Logic,Fee Overflow Exploit,"Linea,zkSync Era",True,False,DeFi Protocol,True,3330.0,Dexs,DEX
2024-06-09,Loopring,5000000.0,0.0,5000000.0,Protocol Logic,Guardian 2FA service exploit,Loopring,False,False,DeFi Protocol,True,126.0,Dexs,DEX
