id,date,name,category,chain,funds_lost,funds_recovered,funds_returned,scam_type,scam_parent,year
3669,2023-08-13,Zunami Protocol,Yield Aggregator,,2177741.0,0.0,0.0,Flash Loan Attack,Exploit/Flash Loan Attack,2023
3670,2023-08-14,Gladiator,Token,,246180.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3671,2023-08-14,RocketSwap,Exchange (DEX),,869000.0,0.0,0.0,Access Control,Exploit/Access control,2023
3672,2023-08-13,KUKUCoin,Token,,100335.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3673,2023-08-11,GGBOND,Token,,150971.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3674,2023-08-11,CIRCLE (fake),Token,,216000.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3676,2023-08-15,Jigsaw saw you,Token,,160000.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3677,2023-08-12,Safe,Other,,283829.0,0.0,0.0,Other,Exploit/Other,2023
3678,2023-08-16,SwilrLend,Borrowing and Lending,,460317.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3679,2023-08-12,Fake zkSync,Token,,106527.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3680,2023-08-09,Deez Nuts,Token,,64044.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3681,2023-07-26,SafeMoonX,Token,,25018.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3682,2023-08-18,Exactly Protocol,Borrowing and Lending,,7197240.0,0.0,0.0,Reentrancy,Exploit/Reentrancy,2023
3684,2023-08-19,Friend Tech,Token,,456230.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3685,2023-08-20,LayerZero,Token,,1045094.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3686,2023-08-16,Snake Eyes,Token,,117292.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3687,2023-08-19,BTC20Token,Token,,30478.0,0.0,0.0,Flash Loan Attack,Exploit/Flash Loan Attack,2023
3688,2023-08-19,Frontfanz,Token,,98302.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3689,2023-08-24,SHIA,Token,,116094.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3690,2023-08-25,Magnate Finance,Borrowing and Lending,,5357862.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3691,2023-08-27,Balancer,Exchange (DEX),,1898586.0,0.0,0.0,Flash Loan Attack,Exploit/Flash Loan Attack,2023
3692,2023-08-26,Star Token,Token,,517684.0,0.0,0.0,Other,Exploit/Other,2023
3693,2023-08-29,Kizuna AI,Token,,134863.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3694,2023-08-30,BabyShia,Token,,67569.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3695,2023-08-24,Hachiko,Token,,253702.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3696,2023-08-23,Aspiring Cooperation Community,Token,,173462.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3697,2023-08-21,Ethereum Hive,Other,,15569.0,0.0,0.0,Other,Exploit/Other,2023
3698,2023-08-23,Towelie,Token,,88861.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3699,2023-08-24,Reflex Staking Bot,Token,,236801.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3700,2023-08-23,HarryPotterObamaJustinHuobiSun,Token,,42696.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3701,2023-09-04,Stake,"Other,Gaming / Metaverse",,41408903.0,0.0,0.0,Other,Exploit/Other,2023
3702,2023-09-06,Boost Coin,Token,,593267.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3703,2023-09-06,APIG,Token,,169164.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3704,2023-09-07,Helio Protocol,Token,,178277.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3705,2023-09-06,Coindroplet,Other,,23095489.0,0.0,0.0,Phishing,Exploit/Phishing,2023
3706,2023-08-31,EspressoBot,Token,,53110.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3708,2023-08-29,Symbiosis,Token,,23725.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3709,2023-09-05,FloorDAO,NFT,,65000.0,0.0,0.0,Other,Exploit/Other,2023
3710,2023-08-30,Genswap,Token,,62000.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3711,2023-09-12,CoinEx,Other,,52847077.0,0.0,0.0,Access Control,Exploit/Access control,2023
3712,2023-09-05,GMBL Computer,Other,,768196.0,0.0,383826.0,Other,Exploit/Other,2023
3713,2023-09-20,Balancer,Exchange (DEX),,238000.0,0.0,0.0,Other,Exploit/Other,2023
3714,2023-09-21,Linear Finance,"Stablecoin,Token",,211726.0,0.0,0.0,Other,Exploit/Other,2023
3715,2023-09-23,Mixin Network,Other,,142041764.0,0.0,0.0,Other,Exploit/Other,2023
